"","pollster","fte_grade"
"1","Monmouth University","A+"
"2","Selzer & Co.","A+"
"3","ABC News/The Washington Post","A+"
"4","Siena College/The New York Times Upshot","A+"
"5","Field Research Corp. (Field Poll)","A/B"
"6","Marquette University Law School","A/B"
"7","Muhlenberg College","A+"
"8","Marist College","A+"
"9","Data Orbital","A/B"
"10","National Journal","A/B"
"11","Stockton University","A/B"
"12","SurveyUSA","A"
"13","Ciruli Associates","A/B"
"14","MassINC Polling Group","A/B"
"15","Fairleigh Dickinson University (PublicMind)","A/B"
"16","CBS News/The New York Times","A"
"17","Grove Insight","A/B"
"18","Behavior Research Center (Rocky Mountain Poll)","A/B"
"19","Western New England University","A/B"
"20","Suffolk University","A"
"21","IBD/TIPP","A/B"
"22","Los Angeles Times","A/B"
"23","Michigan State University","A/B"
"24","University of Connecticut","A/B"
"25","University of Cincinnati (Ohio Poll)","A/B"
"26","Temple University","A/B"
"27","Fox News/Beacon Research/Shaw & Co. Research","A-"
"28","Castleton University","A/B"
"29","KRC/Communications Research","A/B"
"30","Wirthlin Worldwide","A/B"
"31","Indiana University","A/B"
"32","Siena College","A-"
"33","Louis Harris & Associates","A/B"
"34","Market Strategies International","A/B"
"35","NBC News/The Wall Street Journal","A-"
"36","University of Florida","A/B"
"37","Gordon S. Black Corp.","A/B"
"38","Fox News/Opinion Dynamics Corp.","A/B"
"39","Yankelovich Partners Inc.","A/B"
"40","Emerson College","A-"
"41","Harvard University","A/B"
"42","Public Policy Institute of California","A/B"
"43","University of Illinois at Chicago","A/B"
"44","Abt Associates","A/B"
"45","Winthrop University","A/B"
"46","RKM Research and Communications Inc.","A-"
"47","Georgetown University (Battleground)","A/B"
"48","Princeton Survey Research Associates International","A/B"
"49","Market Shares Corp.","A/B"
"50","Mason-Dixon Polling & Strategy","B+"
"51","CNN/Opinion Research Corp.","B+"
"52","Research & Polling Inc.","B+"
"53","Quinnipiac University","B+"
"54","EPIC-MRA","B+"
"55","Elway Research","A/B"
"56","St. Norbert College","A/B"
"57","University of North Florida","A/B"
"58","Elon University","A/B"
"59","National Research Inc.","A/B"
"60","Blum & Weprin Associates","A/B"
"61","Public Religion Research Institute","A/B"
"62","Middle Tennessee State University","A/B"
"63","Fleming & Associates","A/B"
"64","University of Massachusetts Lowell","A/B"
"65","Cygnal","A/B"
"66","Angus Reid Global","B+"
"67","Public Opinion Strategies","B+"
"68","Strategic Vision LLC","F"
"69","North Star Opinion Research/Ayres, McHenry & Associates","A/B"
"70","American Viewpoint","B/C"
"71","Landmark Communications","B"
"72","Ward Research (Honolulu Star-Advertiser)","B/C"
"73","University of Arkansas","B/C"
"74","Harstad Strategic Research Inc.","B/C"
"75","RT Strategies","B/C"
"76","Harper Polling","B/C"
"77","University of South Alabama","B/C"
"78","Public Policy Polling","B"
"79","GQR Research (GQRR)","B"
"80","University of Wisconsin (Badger Poll)","B/C"
"81","Gallup","B"
"82","Rutgers University","B/C"
"83","Pharos Research Group","F"
"84","Keating Research","B/C"
"85","American Research Group","B"
"86","Montana State University Billings","B/C"
"87","Greenberg Quinlan Rosner/American Viewpoint","B/C"
"88","Financial Dynamics","B/C"
"89","University of Washington","B/C"
"90","Market Research Institute Inc.","B/C"
"91","Iowa State University","B/C"
"92","McKeon & Associates","B/C"
"93","Christopher Newport University","B/C"
"94","Tarrance Group","B/C"
"95","Victory Research","B/C"
"96","SSRS","B/C"
"97","Orion Strategies","B/C"
"98","CJ&N","B/C"
"99","Marshall Marketing & Communications","B/C"
"100","YouGov","B"
"101","University of Massachusetts Amherst","B/C"
"102","Missouri State University","B/C"
"103","Northern Arizona University","B/C"
"104","Potomac Incorporated","B/C"
"105","Louisville Courier-Journal","B/C"
"106","Ethridge & Associates LLC","B/C"
"107","APC Research","B/C"
"108","Dittman Research","B/C"
"109","Franklin & Marshall College","B/C"
"110","SEA Polling & Strategic Design","B/C"
"111","Clemson University","B/C"
"112","Frederick Polls","B/C"
"113","University of New Hampshire","B-"
"114","Market Decisions","B/C"
"115","Park Street Strategies","B/C"
"116","Wiese Research Associates Inc.","B/C"
"117","GBAO","B/C"
"118","University of Wisconsin-Milwaukee","B/C"
"119","RBI Strategies & Research","B/C"
"120","Valley Research","B/C"
"121","Research Co.","B-"
"122","MSR Group","B/C"
"123","Richard Day Research Inc.","B/C"
"124","Lake Research Partners","B/C"
"125","Southern Media & Opinion Research","B/C"
"126","Mason Strategies","B/C"
"127","Research 2000","F"
"128","Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League)","B/C"
"129","Personal Marketing Research","B/C"
"130","High Point University","B/C"
"131","Targeted Persuasion","B/C"
"132","University of Houston","B/C"
"133","Market Solutions Group","B/C"
"134","Moore Information","B/C"
"135","Merrill Poll","B/C"
"136","Richmond Times-Dispatch","B/C"
"137","Mercyhurst University","B/C"
"138","Odney","B/C"
"139","University of Tennessee","B/C"
"140","Fabrizio, Lee & Associates","B/C"
"141","Frank N. Magid Associates Inc.","B/C"
"142","Winston Group","B/C"
"143","Gotham Research Group","B/C"
"144","Strategic Services","B/C"
"145","RMS Research","B/C"
"146","Knowledge Networks","B/C"
"147","Lincoln Institute","B/C"
"148","Midwest Survey and Research","B/C"
"149","QEV Analytics","B/C"
"150","Baruch College","B/C"
"151","Neighborhood Research and Media","B/C"
"152","Florida International University/Univision","B/C"
"153","GfK Group","B/C"
"154","Dan Jones & Associates","B-"
"155","Centre College","B/C"
"156","Blumenthal Research Daily","F"
"157","New Mexico State University","B/C"
"158","Aspen Media & Market Research","B/C"
"159","Voter/Consumer Research","B/C"
"160","Jim Meader (KELOLAND-TV)","B/C"
"161","Garin-Hart-Yang Research Group","B/C"
"162","Manhattanville College","B/C"
"163","Canisius College","B/C"
"164","Central Surveys Inc.","B/C"
"165","Scripps Howard","B/C"
"166","Cooper & Secrest","B/C"
"167","Red Sea Communications","B/C"
"168","Thirty-Ninth Street Strategies","B/C"
"169","Dynamic Marketing Inc.","B/C"
"170","Vox Populi Communications","B/C"
"171","Diversified Research Inc","B/C"
"172","Global Strategy Group/National Research (Philadelphia Inquirer)","B/C"
"173","Lauer Lalley Victoria Inc.","B/C"
"174","Overtime Politics","F"
"175","Becker Institute","B/C"
"176","Ohio State University","B/C"
"177","Opinion Savvy/InsiderAdvantage","B-"
"178","Morningside College","B/C"
"179","Dartmouth College","B/C"
"180","Market Trends Pacific","B/C"
"181","Basswood Research","B/C"
"182","Wick Communications","B/C"
"183","Bendixen & Amandi International","B/C"
"184","NRECA Market Research","B/C"
"185","Associated Industries of Florida","B/C"
"186","University of North Carolina","B/C"
"187","University of Denver","B/C"
"188","Analytical Group","B/C"
"189","ASA Marketing Group","B/C"
"190","Belden Russonello","B/C"
"191","Feldman Group","B/C"
"192","Meeting Street Research","B/C"
"193","University of Nevada Las Vegas","B/C"
"194","Cromer Group","B/C"
"195","West Virginia Research Center","B/C"
"196","Rhode Island College","B/C"
"197","Braun Research","B/C"
"198","Zimmerman & Associates/Marketing Intelligence","B/C"
"199","Virginia Commonwealth University","B/C"
"200","DFM Research","B/C"
"201","Public Strategies Inc.","B/C"
"202","Clarus Research Group","B/C"
"203","Independent Market Research","B/C"
"204","University of Maryland","B/C"
"205","Insights West","B/C"
"206","Rice University","B/C"
"207","Val Smith","B/C"
"208","Kiley & Company","B/C"
"209","SMS Research & Marketing Services Inc.","B/C"
"210","Old Dominion University","B/C"
"211","Polling Company/Global Strategy Group (Hotline Bullseye)","B/C"
"212","Jeffrey Stonecash","B/C"
"213","A&A Research","B/C"
"214","TMR Research","B/C"
"215","California State University, Bakersfield","B/C"
"216","West Chester University","B/C"
"217","Illinois Wesleyan University","B/C"
"218","Hill Research Consultants","B/C"
"219","OnMessage Inc.","B/C"
"220","Tulsa Surveys","B/C"
"221","Ipsos","B-"
"222","Decision Forecasting","B/C"
"223","Marketing Research Institute","B/C"
"224","PSI","B/C"
"225","Southern Opinion Research","B/C"
"226","NPR","B/C"
"227","HighGround Inc.","B/C"
"228","Minnesota State University Moorhead","B/C"
"229","Talmey-Drake Research & Strategy Inc.","B/C"
"230","Arthur J. Finkelstein & Associates","B/C"
"231","Florida Atlantic University","B/C"
"232","Ron Lester and Associates","B/C"
"233","Vox Populi Polling","B/C"
"234","JMC Analytics/Bold Blue Campaigns","B/C"
"235","Alaska Survey Research","B/C"
"236","Clarity Campaign Labs","B/C"
"237","CallFire","B/C"
"238","MarketAide Services Inc.","B/C"
"239","Big Ten","B/C"
"240","Abacus Associates","B/C"
"241","Data for Progress","B-"
"242","Forman Center","B/C"
"243","Magellan Strategies","B/C"
"244","Strategies 360","B/C"
"245","DHM Research","B/C"
"246","Bannon Communications","B/C"
"247","Opinion Consultants","B/C"
"248","Riley Research Associates","B/C"
"249","Hendrix College","B/C"
"250","Hoffman Research Group","B/C"
"251","Glover Park Group","B/C"
"252","Y2 Analytics","B/C"
"253","Anderson Group","B/C"
"254","Baselice & Associates","B/C"
"255","Florida Poll","B/C"
"256","Market Research Insight","B/C"
"257","Howey Politics/DePauw University","B/C"
"258","Lauer Johnson Research","B/C"
"259","Franklin Pierce University","B/C"
"260","Neighbor","B/C"
"261","Gonzales Research & Marketing Strategies Inc.","B/C"
"262","McCulloch Research & Polling","B/C"
"263","Concord Public Opinion Partners","B/C"
"264","Lycoming College","B/C"
"265","OpinionWorks","B/C"
"266","Data West Polling","B/C"
"267","Tulchin Research","B/C"
"268","Spry Strategies","B/C"
"269","University of Alabama at Birmingham","B/C"
"270","Latino Decisions","B/C"
"271","Cherry Communications","B/C"
"272","Strategic Research Associates","B/C"
"273","SoonerPoll.com","B/C"
"274","Pew Research Center","B/C"
"275","Schapiro Group","B/C"
"276","WCIA-TV","B/C"
"277","Pan Atlantic Research","B/C"
"278","David Binder Research","B/C"
"279","Rainmaker Media Group","B/C"
"280","Southeastern Louisiana University","B/C"
"281","Douglas Fulmer & Associates","B/C"
"282","Ohio University","B/C"
"283","East Carolina University","B/C"
"284","Star Tribune","B/C"
"285","University of Iowa","B/C"
"286","Hays Research Group","B/C"
"287","BK Strategies","B/C"
"288","New England College","B/C"
"289","Hellenthal & Associates","B/C"
"290","Hickman Analytics","B/C"
"291","St. Cloud State University","B/C"
"292","RRH Elections","B/C"
"293","Benenson Strategy Group","B/C"
"294","Greg Smith and Associates","B/C"
"295","Mellman Group","B/C"
"296","Consumer Logic","B/C"
"297","East Tennessee State University","B/C"
"298","Hamilton Campaigns","B/C"
"299","The Tyson Group","B/C"
"300","Keating Research/OnSight Public Affairs/Melanson","B/C"
"301","1892 Polling","B/C"
"302","Starboard Communications","B/C"
"303","DCCC Targeting and Analytics Department","B/C"
"304","Massie & Associates","B/C"
"305","Rasmussen Reports/Pulse Opinion Research","C+"
"306","CVOTER","B/C"
"307","KG Polling","F"
"308","IMGE Insights","B/C"
"309","Millersville University","B/C"
"310","University of Georgia","B/C"
"311","University of New Orleans","B/C"
"312","FM3 Research","B/C"
"313","Zogby Interactive/JZ Analytics","C+"
"314","Marketing Workshop","B/C"
"315","Kimball Political Consulting","B/C"
"316","Momentum Analysis","B/C"
"317","ROI Rocket","B/C"
"318","R.L. Repass & Partners","B/C"
"319","Univision/University of Houston/Latino Decisions","B/C"
"320","Schoen Consulting","B/C"
"321","20/20 Insight","B/C"
"322","Victoria Research & Consulting","B/C"
"323","JMC Analytics","B/C"
"324","Sacred Heart University","B/C"
"325","Ed Renwick/Loyola University New Orleans","B/C"
"326","Normington, Petts & Associates","B/C"
"327","Loras College","B/C"
"328","Probolsky Research","B/C"
"329","University of Texas at Tyler","B/C"
"330","Gravis Marketing","C"
"331","AtlasIntel","B/C"
"332","Harper Polling/Clarity Campaign Labs","B/C"
"333","Susquehanna Polling & Research Inc.","C"
"334","Multi-Quest International","B/C"
"335","Ogden & Fry","B/C"
"336","Marketing Resource Group (MRG)","B/C"
"337","Beacon Research","B/C"
"338","Civiqs","B/C"
"339","Clout Research/Wenzel Strategies","B/C"
"340","Harris Insights & Analytics","C"
"341","Praecones Analytica","B/C"
"342","SocialSphere","B/C"
"343","Cole Hargrave Snodgrass & Associates","B/C"
"344","Maine People's Resource Center","B/C"
"345","Western Kentucky University","B/C"
"346","Morning Consult","B/C"
"347","Alabama State University","B/C"
"348","Glengariff Group","B/C"
"349","TargetSmart/William & Mary","B/C"
"350","Optimus","B/C"
"351","St. Pete Polls","C"
"352","Meredith College","B/C"
"353","Roanoke College","B/C"
"354","IVR Polls","B/C"
"355","Strategic National","B/C"
"356","Master Image","B/C"
"357","Capital Survey Research Center","B/C"
"358","OH Predictive Insights","B/C"
"359","Riggs Research Services","B/C"
"360","Research America Inc.","B/C"
"361","Columbus Dispatch","B/C"
"362","Dixie Strategies","B/C"
"363","OnPoint","B/C"
"364","Craciun Research Group","B/C"
"365","ALG Research","B/C"
"366","USC Dornsife/Los Angeles Times","B/C"
"367","The Polling Company Inc.","B/C"
"368","M4 Strategies","B/C"
"369","Victory Enterprises","B/C"
"370","We Ask America","C"
"371","Edgewater Research/My People Vote","B/C"
"372","RMG Research","B/C"
"373","Evan Falchuk and Lou DiNatale","B/C"
"374","RABA Research","B/C"
"375","WPA Intelligence (WPAi)","B/C"
"376","Forward Strategies","B/C"
"377","CSP Polling","F"
"378","Purple Strategies","B/C"
"379","Revily","B/C"
"380","Global Strategy Group","B/C"
"381","Pacific Market Research","B/C"
"382","Arizona State University","B/C"
"383","Crantford Research","B/C"
"384","Rivercity Polling","B/C"
"385","AFL-CIO","B/C"
"386","War Room Logistics","B/C"
"387","Diamond State Consulting Group","B/C"
"388","MRG Research","B/C"
"389","Pasquines","B/C"
"390","Florida Chamber of Commerce","B/C"
"391","PSB Research","B/C"
"392","Trafalgar Group","C-"
"393","Singularis Group","B/C"
"394","Constituent Dynamics","B/C"
"395","TargetPoint","B/C"
"396","BIGresearch","B/C"
"397","Rossman Group","C/D"
"398","Remington Research Group","C-"
"399","Triumph Campaigns","C/D"
"400","Liberty Opinion Research","C/D"
"401","Big Data Poll","F"
"402","Iona College","C/D"
"403","University of California, Berkeley","C/D"
"404","Datamar","C/D"
"405","co/efficient","C/D"
"406","Change Research","C-"
"407","CrossTarget","C/D"
"408","TeleResearch Corporation","C/D"
"409","Critical Insights","C/D"
"410","RAND (American Life Panel)","C/D"
"411","Great Lakes Strategies Group","C/D"
"412","MarblePort","C/D"
"413","ResearchNow","C/D"
"414","New Frontier Strategy","C/D"
"415","Hampton University","C/D"
"416","Indiana University-Purdue University Fort Wayne","C/D"
"417","McLaughlin & Associates","C/D"
"418","Zata3","C/D"
"419","GCR & Associates","C/D"
"420","Mitchell Research & Communications","C-"
"421","Slingshot Strategies","C/D"
"422","ccAdvertising","C/D"
"423","Strategy Research","C/D"
"424","GaPundit.com","C/D"
"425","Lucid","D+"
"426","Target Insyght","C/D"
"427","Baldwin Wallace University","C/D"
"428","Brown University","C/D"
"429","University of Colorado","C/D"
"430","Opinion Research Associates","C/D"
"431","BWD Global","C/D"
"432","Google Surveys","D+"
"433","Targoz Market Research","C/D"
"434","OurProgress (The Progress Campaign)","F"
"435","Saguaro Strategies","C/D"
"436","Elucd","C/D"
"437","Baydoun Consulting","C/D"
"438","CPEC","C/D"
"439","Zia Poll","C/D"
"440","Glascock Group","C/D"
"441","Point Blank Political","C/D"
"442","TP Research","C/D"
"443","Carroll Strategies","C/D"
"444","Dane & Associates","C/D"
"445","Brigham Young University","C/D"
"446","Swayable","D-"
"447","Fort Hays State University","C/D"
"448","Saint Leo University","C/D"
"449","SurveyMonkey","D-"
"450","Nielson Brothers Polling","C/D"
"451","TCJ Research","F"
"452","Humphrey Institute","C/D"
"453","Jayhawk Consulting","C/D"
